https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1656547200000,2022-06-30 00:00:00,BTC/USD,20112.0,20157.0,18638.0,19944.0,114609664.40173055,5746.57362624
1656460800000,2022-06-29 00:00:00,BTC/USD,20271.0,20430.0,19844.0,20111.0,68009698.9668642,3381.7164222
1656374400000,2022-06-28 00:00:00,BTC/USD,20734.0,21208.0,20194.0,20272.0,48428105.221532956,2388.91600343
1656288000000,2022-06-27 00:00:00,BTC/USD,21054.89482996,21534.0,20515.0,20718.0,57828109.039955094,2791.20132445
1656201600000,2022-06-26 00:00:00,BTC/USD,21479.0,22020.0,20980.0,21056.0,59015656.711567365,2802.79524656
1656115200000,2022-06-25 00:00:00,BTC/USD,21229.0,21594.0,20893.0,21473.0,49376608.86056974,2299.47417038
1656028800000,2022-06-24 00:00:00,BTC/USD,21076.0,21549.0,20704.0,21229.0,123058311.88894387,5796.70789434
1655942400000,2022-06-23 00:00:00,BTC/USD,19952.0,21179.0,19855.0,21074.0,129493132.373357,6144.6869305
1655856000000,2022-06-22 00:00:00,BTC/USD,20689.23205291,20848.0,19730.0,19944.0,144764591.53869864,7258.55352681
1655769600000,2022-06-21 00:00:00,BTC/USD,20554.0,21675.0,20327.0,20694.0,169320402.69386232,8182.10122228
1655683200000,2022-06-20 00:00:00,BTC/USD,20543.45566385,21039.0,19626.0,20549.09798559,137455891.6935479,6689.14478825
1655596800000,2022-06-19 00:00:00,BTC/USD,18964.0,20744.0,17950.0,20549.0,239998700.3550037,11679.3372113
1655510400000,2022-06-18 00:00:00,BTC/USD,20413.0,20688.0,17605.0,18965.0,340041747.5663647,17929.96296158
1655424000000,2022-06-17 00:00:00,BTC/USD,20400.0,21362.0,20250.0,20414.0,490342023.94760656,24019.88948504
1655337600000,2022-06-16 00:00:00,BTC/USD,22594.0,23010.0,20248.0,20397.20710459,137530967.83132172,6742.63722117
1655251200000,2022-06-15 00:00:00,BTC/USD,22143.0,22810.0,20073.0,22594.0,396638610.5484546,17555.04162824
1655164800000,2022-06-14 00:00:00,BTC/USD,22500.0,23377.0,20859.0,22143.77484,364420525.75281894,16457.01911196
1655078400000,2022-06-13 00:00:00,BTC/USD,26636.0,26951.0,21953.0,22500.0,961326207.704475,42725.60923131
